NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price
13756,447,49.2,447,49615.0,0,0,714.0
13757,1106,52.7,1067,51069.0,22,135,852.0
13760,44320,44.0,39146,53532.0,800,6176,723.0
13774,334,18.9,334,75263.0,0,0,
13775,1626,50.3,1607,51481.0,21,186,692.0
13776,448,54.2,416,38750.0,17,55,550.0
13777,436,45.0,426,67500.0,0,51,752.0
13778,5926,42.7,5640,59202.0,52,538,611.0
13780,860,56.6,777,45265.0,18,64,
13782,687,45.4,666,50357.0,3,71,870.0
13783,2403,47.9,2214,38487.0,73,104,561.0
13784,107,40.1,107,38594.0,0,0,1125.0
13786,525,43.1,505,51458.0,22,34,967.0
13787,3685,44.1,3600,43000.0,2,125,666.0
13788,1014,50.6,969,49766.0,11,142,709.0
13790,18034,37.6,14319,41825.0,775,1849,746.0
13794,29,55.6,29,86500.0,0,0,
13795,3581,44.7,3261,47841.0,31,191,792.0
13796,1456,46.3,1349,57000.0,75,189,688.0
13797,2235,42.0,2155,48024.0,0,130,740.0
13801,1339,48.3,1202,36184.0,9,71,657.0
13802,598,43.4,553,58516.0,0,80,
13803,4302,40.0,4133,56458.0,13,271,693.0
13804,578,36.7,539,63977.0,12,46,664.0
13806,268,52.4,229,71250.0,36,44,
13807,1224,47.7,1188,55500.0,30,147,713.0
13808,1534,48.4,1465,51750.0,13,194,655.0
13809,2109,36.2,1973,43472.0,0,124,793.0
13810,1016,50.1,971,37009.0,12,92,655.0
13811,4518,41.5,4352,54227.0,2,444,635.0
13812,2509,39.9,2359,50341.0,8,141,624.0
13813,631,57.2,483,47969.0,3,39,
13815,13444,41.3,12807,47385.0,132,859,647.0
13820,22143,27.2,19123,45350.0,372,2185,842.0
13825,3416,50.2,3271,53155.0,51,354,709.0
13826,13,,13,,0,0,
13827,11392,45.4,10547,57888.0,31,1426,654.0
13830,5124,44.8,4792,46548.0,58,286,663.0
13832,679,40.4,656,34750.0,0,22,625.0
13833,4067,47.0,3949,47404.0,20,263,685.0
13834,158,18.7,149,67800.0,0,25,
13835,1285,43.2,1262,46979.0,0,89,643.0
13838,4732,38.1,4432,40833.0,126,273,641.0
13839,990,59.5,930,44531.0,10,51,668.0
13841,628,42.2,532,36591.0,5,54,767.0
13842,623,45.6,537,82000.0,10,46,
13843,2001,43.5,1948,46510.0,0,168,731.0
13844,930,38.5,866,46250.0,0,40,750.0
13845,59,,59,,0,0,
13846,270,57.2,270,47000.0,0,24,
13847,65,27.4,65,,0,12,
13849,3779,47.7,3704,43438.0,20,305,696.0
13850,22291,44.2,18408,62003.0,1090,3166,908.0
13856,6258,44.3,5953,39781.0,76,442,659.0
13859,352,28.8,344,63510.0,6,6,1007.0
13860,95,24.9,95,80938.0,0,10,
13861,352,37.9,289,,0,62,
13862,4504,39.4,4407,60980.0,32,324,688.0
13863,769,34.9,721,56406.0,2,30,683.0
13864,1039,42.6,1002,35347.0,0,99,757.0
13865,6191,44.4,6125,61364.0,21,415,588.0
13901,19160,39.7,16364,42386.0,270,1893,609.0
13902,6149,19.6,3509,,434,0,
13903,18099,41.8,15162,44136.0,556,1700,657.0
13904,9769,39.3,8187,45513.0,221,745,706.0
13905,27767,35.5,21077,37288.0,1330,2866,712.0
14001,9609,45.4,9091,58082.0,209,835,764.0
14004,12363,43.3,10720,67535.0,77,1476,737.0
14005,1865,42.5,1770,59392.0,6,121,740.0
14006,9826,47.4,9286,57401.0,44,793,758.0
14008,1450,46.6,1383,53300.0,11,99,675.0
14009,5368,41.4,5129,45456.0,31,368,615.0
14011,9859,36.7,7010,60833.0,205,552,613.0
14012,2453,42.4,2213,55564.0,48,203,658.0
14013,1742,46.1,1179,48438.0,7,94,863.0
14020,22725,43.3,20112,47976.0,169,2175,722.0
14024,1770,39.0,1726,60307.0,5,120,708.0
14025,2762,44.1,2726,59009.0,14,288,758.0
14026,655,47.7,646,87634.0,0,62,1083.0
14028,1558,44.1,1491,55234.0,11,193,874.0
14030,1663,45.6,1630,53170.0,0,93,834.0
14031,10069,45.3,9200,80402.0,180,1720,703.0
14032,8187,41.9,7780,101141.0,169,1265,993.0
14033,2045,47.0,2015,95000.0,23,401,625.0
14034,2957,43.9,2227,58938.0,78,231,597.0
