NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
14810,12444,44.6,11595,41061.0,68,769,581.0
14812,3369,40.5,3211,57589.0,0,183,588.0
14813,2559,44.5,2457,45150.0,48,175,583.0
14814,1984,41.5,1656,70781.0,71,221,921.0
14815,870,47.1,859,44250.0,6,51,804.0
14816,442,41.1,421,48646.0,0,57,1036.0
14817,2151,49.4,1957,58787.0,14,363,807.0
14818,1598,46.9,1586,61563.0,0,144,847.0
14819,773,43.8,765,36691.0,6,15,917.0
14820,655,48.5,650,43092.0,0,21,608.0
14821,2967,40.4,2914,49707.0,15,172,663.0
14822,1415,35.9,1319,36726.0,4,53,759.0
14823,3617,41.2,3472,50595.0,0,182,681.0
14824,654,52.3,606,64500.0,0,53,755.0
14825,1007,47.5,974,46750.0,0,46,763.0
14826,2264,42.9,2207,43333.0,0,116,657.0
14827,95,29.3,95,24267.0,0,26,
14830,19679,40.4,18214,52693.0,290,2288,710.0
14836,1127,51.3,1122,55739.0,0,82,764.0
14837,5569,40.2,5295,46950.0,33,323,643.0
14838,2160,41.9,2025,58542.0,0,115,875.0
14839,744,38.6,735,48750.0,0,17,647.0
14840,3110,51.5,3004,52140.0,10,400,638.0
14841,909,49.5,882,77902.0,0,162,
14842,808,49.7,808,69107.0,0,57,
14843,13052,40.4,12218,39541.0,137,883,608.0
14845,20961,44.9,19317,62160.0,514,2845,815.0
14846,785,47.9,774,42950.0,7,31,659.0
14847,2282,48.6,2171,50000.0,34,247,720.0
14850,65647,26.1,46354,46423.0,8420,7852,1001.0
14853,2883,19.5,2220,,156,5,
14854,15,,15,,0,7,
14855,1002,30.8,1000,46944.0,0,16,480.0
14856,100,68.8,100,47837.0,0,0,
14858,1713,38.6,1662,58456.0,13,102,821.0
14859,800,48.7,775,49931.0,9,14,341.0
14860,1270,40.5,1254,46094.0,0,71,613.0
14861,1305,48.4,1301,51429.0,13,44,807.0
14864,1107,46.3,1094,50938.0,1,115,521.0
14865,2787,50.7,2676,40204.0,42,145,577.0
14867,5738,35.8,5387,56234.0,84,687,872.0
14869,1343,38.9,1322,50221.0,0,68,535.0
14870,10647,41.1,9114,62567.0,487,1133,805.0
14871,5561,48.0,4921,63820.0,37,352,794.0
14872,650,44.7,595,47143.0,4,62,649.0
14873,2832,41.1,2682,48931.0,12,168,656.0
14874,166,57.8,166,34444.0,1,11,833.0
14877,460,49.4,455,44167.0,5,31,609.0
14878,590,46.7,584,68804.0,0,30,743.0
14879,2231,42.0,2171,49779.0,18,106,733.0
14880,1272,52.0,1254,46563.0,0,55,667.0
14881,271,44.5,271,70515.0,0,111,905.0
14882,3939,42.7,3559,78183.0,47,752,864.0
14883,4056,41.4,3856,48679.0,27,300,912.0
14884,185,54.4,183,47917.0,0,5,782.0
14885,880,39.5,851,42917.0,4,49,623.0
14886,7236,41.7,6845,65745.0,135,700,848.0
14889,1594,44.2,1548,48125.0,0,106,800.0
14891,4655,43.7,4431,44110.0,12,346,594.0
14892,8000,39.9,7782,51690.0,75,533,671.0
14893,12,68.0,12,,0,0,
14894,1311,43.0,1252,40398.0,10,35,610.0
14895,9802,44.2,9474,39449.0,5,749,597.0
14897,921,45.3,918,45217.0,3,35,531.0
14898,2021,31.4,1994,36742.0,3,58,593.0
14901,17019,34.1,12012,27154.0,267,740,628.0
14903,6805,39.0,6366,46406.0,29,537,718.0
14904,15411,37.8,13197,38343.0,54,937,697.0
14905,9414,42.2,8517,59550.0,74,1340,814.0
